"","X","Species","Latitude","Longitude","Oiling","Condition","BirdCount","Date_","Oil_Cond","Date","week.number","Alive","Common","Family","Quarter"
"716",716,"Brown Pelican",30.51932,-88.02986,"Visibly Oiled","Dead",1,"2010-08-18",4,2010-08-18,34,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"719",719,"Brown Pelican",29.3643,-89.86534,"Visibly Oiled","Dead",1,"2010-08-03",4,2010-08-03,32,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"720",720,"Brown Pelican",29.30136,-89.95919,"Visibly Oiled","Dead",1,"2010-08-08",4,2010-08-08,32,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"721",721,"Brown Pelican",29.30451,-89.95958,"Visibly Oiled","Dead",1,"2010-09-12",4,2010-09-12,37,0,"Pelicans","Pelecanidae","08-02-2010 to 09-19-2010"
"722",722,"Brown Pelican",30.50539,-88.05019,"Not Visibly Oiled","Dead",1,"2010-06-06",3,2010-06-06,23,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"724",724,"Brown Pelican",29.65183,-89.464,"Not Visibly Oiled","Dead",1,"2010-07-30",3,2010-07-30,31,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"726",726,"Brown Pelican",29.2994,-89.70208,"Not Visibly Oiled","Dead",1,"2010-07-19",3,2010-07-19,30,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"727",727,"Brown Pelican",28.95272,-89.38167,"Not Visibly Oiled","Dead",1,"2010-06-20",3,2010-06-20,25,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"728",728,"Brown Pelican",28.98645,-89.35153,"Not Visibly Oiled","Dead",1,"2010-06-20",3,2010-06-20,25,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"729",729,"Brown Pelican",29.31371,-89.9646,"Visibly Oiled","Dead",1,"2010-06-19",4,2010-06-19,25,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"730",730,"Brown Pelican",29.30248,-89.96135,"Not Visibly Oiled","Dead",1,"2010-07-09",3,2010-07-09,28,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"732",732,"Brown Pelican",29.02045,-89.37249,"Not Visibly Oiled","Dead",1,"2010-07-27",3,2010-07-27,31,0,"Pelicans","Pelecanidae","06-21-2010 to 08-01-2010"
"733",733,"Brown Pelican",29.20696,-89.03378,"Unknown","Dead",1,"2010-05-31",5,2010-05-31,23,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
"734",734,"Brown Pelican",29.20696,-89.03378,"Unknown","Dead",1,"2010-05-31",5,2010-05-31,23,0,"Pelicans","Pelecanidae","05-05-2010 to 06-20-2010"
